,cluster_id,mainstream,extreme,time
220,220,0.0,0.0,-3.738354325335145e-08
221,221,-inf,0.0,-7.993576788017245e-08
222,222,-inf,0.0,9.720522660838846e-08
223,223,-inf,0.6931471805599453,-3.271083223936653e-08
224,224,0.6931471805599453,-inf,-4.031071492443673e-08
225,225,-0.6931471805599453,-0.6931471805599453,1.9897071032681925e-08
226,226,-1.0986122886681098,-inf,-1.2544734074906907e-08
227,227,-inf,0.0,-2.622168674041673e-07
228,228,0.0,0.0,-2.4091952429412008e-08
229,229,-inf,-inf,0.0
230,230,-inf,-inf,7.989623892819679e-09
231,231,-inf,inf,0.0
232,232,-inf,-inf,6.314895145322506e-09
233,233,0.0,-inf,2.1786085764412385e-07
234,234,-0.6931471805599453,-inf,2.0237611296594596e-08
235,235,-inf,-inf,0.0
236,236,0.0,-inf,-1.0012241817887104e-08
237,237,0.4054651081081642,-inf,2.628082317402885e-08
238,238,-inf,-0.6931471805599453,4.908244802839851e-09
239,239,-0.2876820724517809,-0.9162907318741551,-9.570925025651266e-10
240,240,-0.6931471805599453,-inf,-1.597567661853515e-08
241,241,0.0,-inf,-3.165934993679215e-08
242,242,1.6094379124341005,-1.6094379124341005,1.5597905508311034e-08
243,243,inf,-inf,0.0
244,244,1.3862943611198906,-1.3862943611198906,9.375343009273082e-09
245,245,-2.197224577336219,0.4054651081081642,-1.0028016445576311e-08
246,246,0.0,-inf,-1.2621896916109598e-08
247,247,-inf,-inf,2.621426730765706e-08
248,248,-inf,-inf,0.0
249,249,0.0,-inf,1.4274051434089206e-08
250,250,-inf,-inf,0.00032414910858995135
251,251,-1.0986122886681098,-1.0986122886681098,7.523372403680896e-09
252,252,0.6931471805599453,-inf,-7.79473669218621e-08
253,253,-inf,-1.0986122886681098,-4.1978748430582814e-08
254,254,1.0986122886681098,-inf,-1.0421711194038342e-08
255,255,0.0,-inf,3.814909250302936e-07
256,256,-1.0986122886681098,-inf,-4.314827472573962e-08
257,257,0.0,-inf,-4.566974753261197e-08
258,258,0.0,-inf,-1.1752603005689044e-06
259,259,0.0,-inf,-3.7621555244996585e-07
260,260,0.0,-inf,-9.507811273083807e-08
261,261,0.1823215567939546,-inf,-3.584862068281979e-09
262,262,inf,-inf,-5.914479209345795e-09
263,263,-1.3862943611198906,-0.4054651081081643,2.5247024486999494e-08
264,264,inf,-inf,-3.921659636767159e-08
265,265,0.6931471805599453,-inf,3.439099913279524e-08
266,266,-inf,-1.0986122886681098,-6.654479537301997e-08
267,267,-1.0986122886681098,-inf,1.803573140848543e-08
268,268,-inf,0.0,-9.767525088864943e-07
269,269,0.0,-inf,-1.8819005765578796e-07
270,270,1.3862943611198906,-inf,8.830725499451402e-09
271,271,-inf,-0.6931471805599453,3.7948930148243937e-08
272,272,0.0,-1.0986122886681098,-5.46225769812337e-08
273,273,-1.3862943611198906,-inf,1.3751062752979754e-08
274,274,0.4054651081081642,-1.3862943611198906,1.9069830494498042e-09
275,275,inf,-inf,-6.894033117671413e-09
276,276,0.6931471805599453,-inf,-1.0529130388821077e-08
277,277,-0.4054651081081643,-1.3862943611198906,-1.867073306236178e-08
278,278,-0.8472978603872036,-0.8472978603872036,1.5110107049142676e-08
279,279,0.6931471805599453,-inf,-1.640189491883121e-08
280,280,-inf,-inf,3.4496870246277304e-08
281,281,1.791759469228055,-1.791759469228055,7.19677230663132e-10
282,282,0.6931471805599453,-inf,-1.3545487541112597e-08
283,283,inf,-inf,-3.8068372700789255e-08
284,284,0.0,-inf,5.090948004264382e-08
285,285,inf,-inf,0.0
286,286,-inf,0.0,-5.912673828176043e-08
287,287,-0.6931471805599453,-inf,
288,288,-inf,-1.5040773967762742,2.1079974507153148e-08
289,289,-inf,-inf,2.0095579142957676e-08
290,290,0.0,-inf,-9.517652962007814e-08
291,291,-0.6931471805599453,-inf,-1.910793102094385e-08
292,292,-0.4054651081081643,-inf,-2.247352129151936e-08
293,293,-0.8472978603872036,-1.3862943611198906,-5.695043502869437e-09
294,294,inf,-inf,-1.685597788249925e-08
295,295,-1.791759469228055,0.9162907318741551,-4.815278121891548e-09
296,296,inf,-inf,0.0
297,297,0.28768207245178085,-inf,-1.4844574718434201e-08
298,298,-1.6094379124341005,-1.6094379124341005,-3.2559301481339823e-09
299,299,inf,-inf,6.207905165060905e-08
300,300,0.0,-inf,2.151799314958324e-09
301,301,-inf,-inf,0.0
302,302,-inf,0.0,6.253278737346296e-08
303,303,inf,-inf,1.1493574406025644e-08
304,304,-1.3862943611198906,-1.3862943611198906,1.037559640329435e-08
305,305,-inf,0.0,1.2202159770077143e-07
306,306,-0.2876820724517809,-0.9162907318741551,4.466332761367131e-08
307,307,inf,-inf,0.0
308,308,-inf,inf,0.0
309,309,0.0,-inf,-2.4749921635560622e-08
310,310,0.6931471805599453,-0.6931471805599453,-3.778024202502938e-08
311,311,-inf,-inf,0.0
312,312,0.0,-inf,-3.1698065361410777e-06
313,313,-inf,0.0,4.0535199131058006e-08
