,hero,villain,victim,main,extreme,slope
554,scott higginbotham,ngani laumape,queensland reds,inf,-inf,0.0
555,scott kelly,,,inf,-inf,4.578003526252996e-08
556,scott maidment,,,inf,-inf,0.0
558,scott morrison,coronavirus,foreign nationals traveling mainland china,inf,-inf,
564,sean mcmanus,,,inf,-inf,
565,sean miller,,,inf,-inf,1.1379244549250827e-08
569,seenivasan kumaravel,,,inf,-inf,0.0
572,senator hadi sirika,,,inf,-inf,0.0
574,sergio aguero,,,inf,-inf,-8.853752790614342e-09
575,sergio perez,,,inf,-inf,2.865180671273438e-08
576,serrano,,,inf,-inf,
578,shafqat mahmood,,,inf,-inf,0.0
579,shah rukh khan,,,inf,-inf,-2.3479098746988214e-09
581,shahid afridi,,,inf,-inf,-1.2616134673705125e-07
582,shahid kapoor,,,inf,-inf,-6.290177328276114e-08
583,shake shack,,,inf,-inf,1.1157894177772882e-08
584,shaker kelada,,egyptair flight 804,inf,-inf,-4.518344478583047e-05
587,shane lowry,,,inf,-inf,0.0
588,shane rattenbury,,,inf,-inf,0.0
589,shane sutton,,,inf,-inf,0.0
596,shashi tharoor,,,inf,-inf,0.0
598,shawn mendes,,,inf,-inf,0.0
599,shayne elliott,mick mccormack,people struggling make home loan repayments,inf,-inf,
600,shehbaz sharif,,,inf,-inf,0.0
601,sheikh khalifa bin zayed al nahyan,,,inf,-inf,0.0
603,shilpa shetty,,,inf,-inf,8.09960387429324e-09
609,shreyas iyer,,,inf,-inf,0.0
611,sidney crosby,,,inf,-inf,0.0
623,sofia kenin,,,inf,-inf,0.00017391981094692447
624,sofia kenin,garbine muguruza,,inf,-inf,5.966924250275095e-05
629,sonam kapoor,,,inf,-inf,-2.150772581343957e-09
631,sonny angara,,,inf,-inf,0.0
632,sonu sood,,,inf,-inf,2.141691629705841e-09
635,sourav ganguly,,,inf,-inf,0.0
639,spectator,,,inf,-inf,0.0
641,spencer rattler,,,inf,-inf,0.0
647,stanley erck,,,inf,-inf,
648,stanley fischer,,,inf,-inf,0.0
650,stars,,,inf,-inf,7.660204365060214e-08
651,stefanic,,,inf,-inf,
653,stephane bancel,,,inf,-inf,
657,stephen curry,jr smith,klay thompson,inf,-inf,-0.00011648223645894
658,stephen curry,tristan thompson,jr smith,inf,-inf,0.0
659,stephen hahn,,,inf,-inf,
660,stephen hawking,,,inf,-inf,0.0
667,steve irwin,,,inf,-inf,2.113958916772782e-08
668,steve kearney,,,inf,-inf,0.0
672,steve smith,,,inf,-inf,3.790248970250431e-08
673,steven coutts,,,inf,-inf,
679,steven stamkos,,,inf,-inf,3.686513966957222e-08
681,sting,,,inf,-inf,1.803664288294814e-07
684,strides shasun,,,inf,-inf,-0.00011603620329542818
685,students,,,inf,-inf,0.0
688,sudarshan venu,,,inf,-inf,0.0
690,sudha murthy,,,inf,-inf,0.0
692,suhana khan,,,inf,-inf,5.421212194973463e-08
695,sunny deol,,,inf,-inf,0.0
697,supreme court,,,inf,-inf,0.0
698,suresh prabhu,,,inf,-inf,0.0
699,suresh raina,,,inf,-inf,-9.098852389044728e-08
703,sushant singh rajput,,,inf,-inf,-1.0350358268586353e-07
705,sushma swaraj,,,inf,-inf,0.0
707,swimmers,,,inf,-inf,0.0
709,qatar,,,inf,-inf,-2.3857933544847435e-08
717,quinn meinerz,,,inf,-inf,0.0
718,quinton byfield,ducks,kings,inf,-inf,
720,odisha,,,inf,-inf,0.0
721,officer,suspect,,inf,-inf,0.0
722,olajide,,,inf,-inf,
725,olivia munn,brett ratner,natasha henstridge,inf,-inf,0.0
726,olivier giroud,,,inf,-inf,2.1736333547594638e-08
728,oneplus,,,inf,-inf,-8.656508871004176e-09
729,onyeka okongwu,,nnamdi okongwu,inf,-inf,
739,varun dhawan,,,inf,-inf,-6.1218820249075495e-09
741,verenzuela,,,inf,-inf,
743,vianney,,,inf,-inf,
747,victoria jimenez kasintseva,,,inf,-inf,
749,vidya balan,,,inf,-inf,1.8687282465047582e-08
751,viliumas malinauskas,,,inf,-inf,
754,vince velasquez,adam eaton,vince velasquez,inf,-inf,
758,virender sehwag,,,inf,-inf,0.0
761,virtanen,,,inf,-inf,
762,vishal,,,inf,-inf,0.0
763,vishal garg,,,inf,-inf,0.0
764,vivo,,,inf,-inf,5.899175863894781e-09
765,vladimir guerrero jr,,,inf,-inf,1.861447441054242e-08
766,vladimir kazbekov,,,inf,-inf,0.0
776,caleb martin,,,inf,-inf,0.0
777,california health experts,covid19 pandemic,california,inf,-inf,
778,cam atkinson,nick holden,,inf,-inf,
781,cameron diaz,,,inf,-inf,-1.0648774794034859e-08
783,camila cabello,,,inf,-inf,7.357886963160258e-09
788,cari mews,,erik fryman annaliese fryman kyra fryman jansen fryman,inf,-inf,
789,carignan,,,inf,-inf,
790,carl frampton,,,inf,-inf,-1.4762492168497906e-07
792,carl spurling,,,inf,-inf,0.0
795,carlos mabry,,,inf,-inf,
797,carmelo anthony,,,inf,-inf,0.0
798,caroline wozniacki,,,inf,-inf,-1.2925765004938936e-07
800,carrie underwood,,,inf,-inf,-1.0326731698158019e-08
801,carson,,,inf,-inf,-9.525437769486756e-08
804,cassie kozyrkov,,,inf,-inf,0.0
806,catherine malabou,,,inf,-inf,0.0
807,cathy perkins,george robertson,zora cross,inf,-inf,
808,cbc,,,inf,-inf,0.0
810,cdc,,,inf,-inf,0.0
812,celine dion,,,inf,-inf,5.568852459262884e-09
816,cesc fabregas,,,inf,-inf,0.0
820,charles aznavour,,,inf,-inf,4.0487117562898426e-06
827,chase,,,inf,-inf,1.8193427738847937e-08
828,chelsea gray,minnesota lynx,los angeles sparks,inf,-inf,
833,chief justice manjula chellur justice g kulkarni,maharashtra government,14yearold rape victim,inf,-inf,-0.0008087343307723412
841,chris evans,,,inf,-inf,7.566613667077897e-09
842,chris froome,,,inf,-inf,3.157622367546499e-08
843,chris goulding,,,inf,-inf,
846,chris lynn,,,inf,-inf,0.0
849,chris paul,,los angeles clippers,inf,-inf,0.0
850,chris paul,patrick beverley,los angeles clippers,inf,-inf,-0.0003957740051419495
857,chris sununu,,,inf,-inf,-1.5943531836682113e-07
858,chris taylor,genesis cabrera,st louis cardinals,inf,-inf,0.0017035775127768314
859,chris waller,,,inf,-inf,-1.2360320682857252e-08
863,chris85,,,inf,-inf,0.0
865,chrissy teigen,zane alchin,paloma brierley newton,inf,-inf,0.0
869,christian schmidt,,,inf,-inf,0.0
870,christian walker,blake treinen,mookie betts,inf,-inf,0.001199040767386091
871,christie brinkley,,,inf,-inf,0.0
872,christine holgate,,,inf,-inf,0.0
877,chrystia freeland,,,inf,-inf,2.0581282513152416e-08
878,chrystia freeland,donald trump,canada,inf,-inf,9.537889265105632e-05
881,chuck knox,,,inf,-inf,0.0
891,city,,,inf,-inf,
895,clarke hachimura,,,inf,-inf,
896,claude puel,,,inf,-inf,-1.3763791887227418e-08
898,clayton keller,,,inf,-inf,3.1618570762819835e-08
900,coast guard,smugglers,migrants,inf,-inf,0.0
903,colton underwood,,,inf,-inf,-7.914921746316359e-09
910,coop,,,inf,-inf,1.3621058581544096e-08
912,cory booker,joe biden,communities like mine,inf,-inf,0.0005747126436781609
913,courier evening telegraph teams,,,inf,-inf,0.0
914,courtney conlogue,,,inf,-inf,0.0
915,courtney conlogue,,brett connellan,inf,-inf,0.0
916,couture,,,inf,-inf,
917,craig bellamy,canterbury bulldogs,melbourne storm 2014,inf,-inf,0.0
918,craig counsell,,,inf,-inf,
919,craig gear,,,inf,-inf,
921,craig tiley,,,inf,-inf,
923,crisil,,,inf,-inf,0.0
925,critchlow,,,inf,-inf,0.0
927,céline dion,,,inf,-inf,1.5808223235381787e-08
935,na,nicola gobbo,na,inf,-inf,8.480325644504748e-05
936,na,nicolas sarkozy,na,inf,-inf,-1.0747518384570605e-08
943,najib tun razak,,,inf,-inf,4.034268366470679e-08
944,name,,,inf,-inf,0.0
961,nani,,,inf,-inf,0.0
962,naomi lee,,,inf,-inf,0.0
964,naomi osaka,,coco gauff,inf,-inf,0.00010379138731665753
965,naomi osaka,breonna taylor,misaki doi,inf,-inf,0.0
977,narendra modi,congress,,inf,-inf,-1.1442740976954095e-08
979,nargis fakhri,,,inf,-inf,0.0
980,naruhito,,,inf,-inf,0.000131215128839092
986,nate tice,,,inf,-inf,0.0
987,nathan chen,,,inf,-inf,0.0
988,nathan jones,,,inf,-inf,0.0
991,national centre meteorology ncm,,,inf,-inf,0.0
992,national geographic society,,,inf,-inf,0.0
995,naveen patnaik,,,inf,-inf,0.0
996,nawaz sharif,imran khan,,inf,-inf,0.0
997,nawazuddin siddiqui,,muslim student,inf,-inf,0.0
998,ncdc,,,inf,-inf,0.0
999,neena gupta,,,inf,-inf,1.513311809499467e-07
1000,neeraj chopra,,,inf,-inf,0.0
1005,neil singleton,claim farmers,queenslanders,inf,-inf,
1006,neil young,,,inf,-inf,-3.0940662333050354e-08
1007,nelson cruz,,,inf,-inf,-0.005681818181818183
1012,newspaperscom,outdated browser,,inf,-inf,0.0
1015,nhs,,,inf,-inf,2.2389000874939764e-08
1019,nick foles,tom brady,new england patriots,inf,-inf,-1.2789195687483215e-05
1020,nick jonas,,,inf,-inf,2.8987191887394214e-09
1022,nick xenophon,,,inf,-inf,0.0
1030,nigel rodrigues,,st kevins primary school,inf,-inf,
1034,nikki haley,un human rights council,israel,inf,-inf,0.0
1043,noah anderson,,,inf,-inf,
1048,noor al sayegh,,,inf,-inf,0.0
1050,nosaina pokana,,,inf,-inf,0.0
1054,nprs angela hsieh,president trump,immigrant families,inf,-inf,
1056,nuhu,idaho,portland state,inf,-inf,
1064,famara diedhiou,,,inf,-inf,0.0
1066,fani willis,rudy giuliani,,inf,-inf,0.0
1067,fani willis,rudy giuliani,donald trump,inf,-inf,0.0
1068,faraday future,,,inf,-inf,0.0
1079,fernando tatis jr,,,inf,-inf,0.0
1084,firefighters,,threeyearold boy,inf,-inf,
1085,firefighters,winds,residents,inf,-inf,
1086,fireworks,,,inf,-inf,-6.401102833204928e-08
1087,fitts,,,inf,-inf,
1088,fitts,,portland,inf,-inf,
1089,flip putthoff,,,inf,-inf,
1095,francisco lindor,,,inf,-inf,1.4910150482669338e-08
1097,frank lampard,,,inf,-inf,0.0
1103,free standing,,,inf,-inf,0.0
1104,fulton county district attorney fani willis,rudy giuliani,,inf,-inf,0.0
1105,gabby williams,uconn,mississippi state,inf,-inf,
1106,gabihil01,,,inf,-inf,0.0
1107,gal gadot,,,inf,-inf,6.438435732328744e-09
1109,garbiñe muguruza,,,inf,-inf,0.0
1110,garcia,,,inf,-inf,-1.8971915683494567e-07
1113,gareth southgate,sam allardyce,roy hodgson,inf,-inf,0.0002911396454597185
1114,gary kubiak,,,inf,-inf,0.0
1115,gautam adani,,,inf,-inf,-6.575890569647927e-10
1116,gautam adani,donald trump,muslim student,inf,-inf,0.0
1120,gem,,,inf,-inf,0.0
1132,georgia love,,,inf,-inf,0.0
1133,geralt de rivia,,,inf,-inf,-4.758369859571702e-08
1139,gervonta davis,,leo santa cruz,inf,-inf,-0.0001762276195782672
1140,gervonta davis,leo santa cruz,,inf,-inf,0.0
1142,giannis antetokounmpo,,,inf,-inf,0.0
1144,giants,,,inf,-inf,9.787488854619411e-09
1145,giarratano squier,,san jose,inf,-inf,
1147,gil dezer,,,inf,-inf,0.0
1152,gio gonzalez,,,inf,-inf,1.3567801772028177e-08
1154,gladys berejiklian,,,inf,-inf,1.3572466541511643e-08
1156,glenda jackson,,,inf,-inf,6.436248954109545e-06
1158,gofundme,,,inf,-inf,0.0
1159,gojek,,,inf,-inf,0.0
1160,goldie hawn,,,inf,-inf,-1.4573339544296336e-08
1161,gomez,,,inf,-inf,
1162,goodwin,,,inf,-inf,-0.015384615384615385
1165,google employees,google,women,inf,-inf,
1166,gordon,,,inf,-inf,
1167,gordon flake,vaccine resistance,united states,inf,-inf,
1170,grahame begg,,,inf,-inf,
1171,grant elliott,,,inf,-inf,-0.0035398230088495575
1174,greg bell,,utah state,inf,-inf,
1176,greg chemello,,,inf,-inf,
1189,gus kenworthy,,,inf,-inf,
1193,,,10 people,inf,-inf,0.0
1199,,,17yearold boy,inf,-inf,1.6667298079475578e-08
1200,,,18 people,inf,-inf,2.928725682461177e-08
1201,,,20yearold man,inf,-inf,5.526954059582024e-09
1204,,,31,inf,-inf,
1206,,,6,inf,-inf,0.0
1207,,,62yearold man,inf,-inf,-6.911976873078341e-08
1208,,,66yearold man,inf,-inf,0.0
1211,,,adrian beltre,inf,-inf,0.0
1216,,,andre drummond,inf,-inf,0.012345679012345678
1221,,,apple,inf,-inf,1.2990601007322016e-08
1222,,,apple inc,inf,-inf,-8.416390553648603e-09
1226,,,art teacher deborah livengood,inf,-inf,0.0
1242,,,bus passengers,inf,-inf,-2.3171967267696134e-08
1243,,,business standard,inf,-inf,0.0
1245,,,caitlyn fischer,inf,-inf,0.0
1249,,,cancer,inf,-inf,0.0
1250,,,car,inf,-inf,-7.314200117246628e-07
1251,,,carter kieboom,inf,-inf,2.7755419245607703e-05
1252,,,charlotte,inf,-inf,
1262,,,content,inf,-inf,9.992385248106477e-09
1263,,,copyright,inf,-inf,0.0
1270,,,deborah livengood,inf,-inf,0.0
1280,,,egyptair flight 804,inf,-inf,0.002336448598130841
1284,,,endangered wildcat kitten,inf,-inf,0.0
1285,,,endangered wildcat kitten put mistake,inf,-inf,0.0
1286,,,environment,inf,-inf,4.776185898898604e-08
1288,,,eventbrite,inf,-inf,0.0
1292,,,farm worker,inf,-inf,0.0
1296,,,five people,inf,-inf,0.0
1298,,,four people killed orange mass shooting,inf,-inf,
1305,,,gina helsel,inf,-inf,0.0
1306,,,girl,inf,-inf,-6.849227576647737e-09
1308,,,goal kenya,inf,-inf,0.0
1309,,,goal south africa,inf,-inf,0.0
1310,,,grocery store owner,inf,-inf,
1312,,,headline,inf,-inf,0.0
1313,,,helpdesk,inf,-inf,0.0
1315,,,himalayan times,inf,-inf,0.0
1322,,,hydriz,inf,-inf,0.0
1328,,,intel,inf,-inf,0.0
1330,,,irish examiner ltd,inf,-inf,0.0
1342,,,josh jenkins,inf,-inf,0.0
1346,,,justin bieber,inf,-inf,0.0
1347,,,kader khan,inf,-inf,-0.0002834467120181406
1349,,,katy perry,inf,-inf,0.00011301989150090416
1359,,,libraries,inf,-inf,0.0
1364,,,male rider,inf,-inf,
1368,,,man 70s,inf,-inf,0.0007485029940119761
1370,,,marco stefan petrovski,inf,-inf,0.0
1371,,,marine craft,inf,-inf,
1372,,,matt forte,inf,-inf,0.0
1374,,,mccaw,inf,-inf,
1376,,,meng wanzhou,inf,-inf,1.7682449699445357e-07
1394,,,name person killed,inf,-inf,4.2429758807187464e-08
1404,,,none explanation given news article contain information hero,inf,-inf,4.720683082842087e-08
1413,,,none explanation none entities news article categorized hero,inf,-inf,3.622008693943688e-08
1419,,,om puri,inf,-inf,0.0
1421,,,owner owen sound restaurant,inf,-inf,0.0
1424,,,page found error,inf,-inf,2.724671361176303e-08
1432,,,person,inf,-inf,7.180022477778369e-08
1433,,,person requested page,inf,-inf,-3.2252647410749385e-08
1438,,,pratyusha banerjee,inf,-inf,0.0
1439,,,prominent uk ceo family,inf,-inf,
1442,,,queen elizabeth ii,inf,-inf,0.0
1447,,,requested page,inf,-inf,1.0524977898598911e-08
1448,,,richard cousins,inf,-inf,0.003430531732418525
1449,,,right information act,inf,-inf,0.0
1455,,,ryan james,inf,-inf,
1459,,,sarscov2,inf,-inf,0.0
1469,,,taiwan,inf,-inf,0.0
1472,,,tesla driver,inf,-inf,0.0
1479,,,tommy kahnle,inf,-inf,1.2565655550250057e-07
1481,,,trinity mirror,inf,-inf,0.0
1484,,,twitter,inf,-inf,-5.614022301288012e-08
1486,,,uk economy,inf,-inf,0.0
1491,,,uploaded content,inf,-inf,0.0
1494,,,us woman,inf,-inf,
1499,,,venezuela,inf,-inf,0.0
1503,,,websites previous version,inf,-inf,0.0
1504,,,wife,inf,-inf,0.0
1506,,,woman 20s,inf,-inf,-5.403076241458074e-08
1507,,,woman 30s,inf,-inf,-1.155402009304175e-08
1508,,,woman 40s,inf,-inf,0.0
1516,,26yearold man,cameron johnston,inf,-inf,
1517,,31yearold woman,28yearold byron bay teacher,inf,-inf,
1518,,34yearold man,68yearold man,inf,-inf,
1519,,88yearold man,87yearold woman,inf,-inf,
1520,,abu dhabi investment authority adia,tpg group,inf,-inf,0.0
1521,,ac installer,ny family,inf,-inf,
1522,,adam purinton,srinivas kuchibhotla,inf,-inf,-0.0009332711152589828
1525,,alan jones,wagner family,inf,-inf,0.0
1544,,apple,iphone users,inf,-inf,1.357430917557872e-08
1546,,armenia,azerbaijan,inf,-inf,0.0
1549,,automation tools,user,inf,-inf,1.1866517672252976e-08
1557,,bawumia,,inf,-inf,0.0
1558,,ben cousins,,inf,-inf,0.0
1559,,ben robertssmith,ali jan,inf,-inf,
1562,,benjamin netanyahu,israel,inf,-inf,4.2238498499097194e-08
1578,,bob dunning,reader,inf,-inf,0.0
1580,,border patrol,migrants,inf,-inf,
1584,,bp,,inf,-inf,-1.6539924532955536e-08
1585,,brandon taubman,women reporters,inf,-inf,
1587,,brij bhushan sharan singh,women wrestlers,inf,-inf,0.0
1593,,chicago chain,aloha poke,inf,-inf,
1606,,china,vietnam,inf,-inf,-7.042769614345569e-09
1608,,china evergrande,,inf,-inf,0.0
1609,,chinas property market slump,global companies biggest exposure china,inf,-inf,0.0
1619,,clint capela,houston rockets,inf,-inf,
1624,,controlling partners,partner,inf,-inf,0.0
1626,,coronavirus,macaus gambling industry,inf,-inf,0.0
1631,,craig wright,none,inf,-inf,5.1607575992155646e-05
1632,,daniel shrum,,inf,-inf,
1760,,donald trump,muslims,inf,-inf,0.0
1765,,donald trump,new york,inf,-inf,0.0
1795,,donald trump,stormy daniels,inf,-inf,3.320127526098277e-07
1811,,donald trump,us,inf,-inf,-1.653558358373719e-08
1823,,donald trump,xi jinping,inf,-inf,
1829,,dr afriyie akoto,ghanaians,inf,-inf,0.0
1844,,emergent biosolutions,johnson johnson,inf,-inf,0.0
1857,,federal government,commercial fishers,inf,-inf,
