,hero,villain,victim,main,extreme,slope
1535,,andrew cuomo,,-inf,inf,0.0
1540,,anthony fauci,none,-inf,inf,0.0
1554,,barack obama,donald trump,-inf,inf,0.0
1560,,ben sasse,paul manafort,-inf,inf,
1568,,beyonce,,-inf,inf,0.0
1572,,bill clinton,,-inf,inf,0.0
1607,,china,world,-inf,inf,0.0
1620,,cloudflare,,-inf,inf,0.0
1621,,cnn,,-inf,inf,0.0
1637,,david duke,donald trump,-inf,inf,0.0
1638,,david hogg,,-inf,inf,0.0
1639,,deep state,donald trump,-inf,inf,0.0
1644,,dennis prager,none,-inf,inf,0.0
1645,,department homeland security,migrants,-inf,inf,0.0
1702,,donald trump,elizabeth warren,-inf,inf,0.0
1745,,donald trump,liberals,-inf,inf,0.0
1830,,dr lisa bardack,hillary clinton,-inf,inf,
1855,,fbi,hillary clinton,-inf,inf,0.0
1860,,fidel castro,cuban people,-inf,inf,0.0
1867,,george soros,america,-inf,inf,0.0
1868,,george soros,none,-inf,inf,0.0
1883,,greg craig,,-inf,inf,0.0
1896,,hillary clinton,bill clinton,-inf,inf,0.0
1898,,hillary clinton,donald trump supporters,-inf,inf,0.0
1911,,ilhan omar,,-inf,inf,0.0
1914,,inflation,,-inf,inf,0.0
1918,,international criminal court,donald trump,-inf,inf,0.0
1926,,iran,us,-inf,inf,0.0
1948,,jared taylor,none,-inf,inf,0.0
1954,,jeffrey epstein,,-inf,inf,0.0
1956,,jeffrey toobin,none,-inf,inf,0.0
1962,,joe biden,americans,-inf,inf,0.0
1965,,joe biden,gun owners,-inf,inf,0.0
1971,,joe biden,truth,-inf,inf,0.0
1979,,john fetterman,,-inf,inf,0.0
1982,,john mccain,donald trump,-inf,inf,0.0
2015,,kim jong un,united states,-inf,inf,0.0
2025,,left,americans,-inf,inf,0.0
2047,,marine le pen,jews france,-inf,inf,0.0
2060,,media,american people,-inf,inf,0.0
2062,,media,public,-inf,inf,0.0
2077,,michelle dubois,general hooker,-inf,inf,
2081,,mike bloomberg,none,-inf,inf,0.0
2097,,movie rental company,man facing jail time,-inf,inf,
2112,,new world order,80 worlds population,-inf,inf,0.0
2123,,north korea,north korea,-inf,inf,0.0
2156,,political watchdogs,metro riders,-inf,inf,
2182,,republicans,immigrants,-inf,inf,0.0
2222,,russian president vladimir putin,target,-inf,inf,0.0
2227,,sam bankmanfried,ftx customers,-inf,inf,0.0
2229,,sarah jeong,new york times,-inf,inf,0.0
2269,,tedros adhanom ghebreyesus,,-inf,inf,0.0
2289,,trump,hillary,-inf,inf,0.0
2354,,viktor orbán,hungary,-inf,inf,0.0
2374,,wordfence,site owner,-inf,inf,0.0
2376,,xi jinping,chinese citizens,-inf,inf,0.0
2384,,zetas commander,us consular official,-inf,inf,
2407,rand paul,,,-inf,inf,0.0
2442,richard grenell,adam schiff,,-inf,inf,0.0
2456,rick waddell,nicolas maduro,venezuela,-inf,inf,
2503,ron,,,-inf,inf,0.0
2506,ron wyden,james clapper,,-inf,inf,0.0
2520,rudy giuliani,,,-inf,inf,0.0
2575,ian allsop,russian hooligans,rebekah vardy,-inf,inf,
2598,irish savant,truthseeker,,-inf,inf,0.0
2637,kate gosek,mcdonalds managers,kate gosek,-inf,inf,
2650,kellyanne conway,,,-inf,inf,0.0
2701,kris paronto,twitter,,-inf,inf,0.0
2706,kristin rosemöhring,,,-inf,inf,
2714,kyle kashuv,cameron kasky,students santa fe high school,-inf,inf,
2747,elvis presley,,,-inf,inf,0.0
2847,dennis prager,left,america,-inf,inf,0.0
2884,donald trump,,nafta,-inf,inf,
2890,donald trump,hillary clinton,americans,-inf,inf,0.0
2893,donald trump,joe biden,american people,-inf,inf,0.0
2898,donald trump,oligarchs,american people,-inf,inf,
2899,donald trump,russia,white house campaign staff,-inf,inf,
2900,donald trump jr,leftists,republicans,-inf,inf,
2904,doug collins,kelly loeffler,,-inf,inf,
2912,dr josh axe,,,-inf,inf,0.0
3008,jeff trades,rogers county district attorneys office,lonnie perry,-inf,inf,
3069,joe biden,bernie sanders,,-inf,inf,0.0
3078,joe biden,donald trump,na,-inf,inf,0.0
3177,joy villa,lauren duca,jay feelys daughter,-inf,inf,0.0
3220,yusef salaam,donald trump,trisha meili,-inf,inf,
3297,bobby knight,,,-inf,inf,
3344,burt colucci,landeskriminalamt nrw lka nrw,webmaster,-inf,inf,0.0
3366,us army,,,-inf,inf,0.0
3393,lara trump,facebook,donald trump,-inf,inf,0.0
3396,larry kudlow,,,-inf,inf,0.0
3487,abovetopsecretcom,ad blocker,,-inf,inf,0.0
3494,adam schiff,,,-inf,inf,0.0
3523,alan dershowitz,,,-inf,inf,0.0
3532,alejandro gaviria,venezuelan health officials,venezuelan people,-inf,inf,
3537,alex jones,global elite,80 world population,-inf,inf,0.0
3539,alex jones,global elite,global population,-inf,inf,0.0
3540,alex jones,global elite,humanity,-inf,inf,0.0
3541,alex jones,global elite,unnamed population,-inf,inf,0.0
3545,alex jones,global elites,world population,-inf,inf,0.0
3547,alex jones,new world order,global population,-inf,inf,0.0
3591,andrea g schwartz,,,-inf,inf,0.0
3607,andy beshear,,kentucky,-inf,inf,0.0
3670,asma uddin firdaus arastu,act america,teen vogue,-inf,inf,
3691,xi jinping,donald trump,target,-inf,inf,0.0
