mitch mcconnell,"[0.2738049460812574, 0.6286946134619319]",111,147
mitch mcconnell,"[0.2738049460812574, 0.6286946134619319]",112,148
mitch mcconnell,"[0.2944270818072754, 0.6623786160220826]",113,149
mitch mcconnell,"[0.2944270818072754, 0.6623786160220826]",114,150
mitch mcconnell,"[0.2944270818072754, 0.6623786160220826]",115,151
mitch mcconnell,"[0.2944270818072754, 0.6623786160220826]",116,152
serena williams,"[-0.03753594027406051, 1.0]",63,99
serena williams,"[-0.029411764705882342, 1.0]",64,100
chuck schumer,"[0.5601120336112039, -0.054153036107388246]",0,36
chuck schumer,"[0.560112033611204, -0.05415303610738823]",1,37
chuck schumer,"[0.560112033611204, -0.05415303610738824]",2,38
chuck schumer,"[0.5601120336112041, -0.05415303610738825]",3,39
chuck schumer,"[0.5601120336112039, -0.05415303610738825]",4,40
chuck schumer,"[0.560112033611204, -0.05415303610738824]",5,41
chuck schumer,"[0.560112033611204, -0.05415303610738824]",6,42
chuck schumer,"[0.560112033611204, -0.05415303610738824]",7,43
chuck schumer,"[0.5601120336112039, -0.05415303610738824]",8,44
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",22,58
chuck schumer,"[0.5601120336112038, -0.05415303610738825]",23,59
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",24,60
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",25,61
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",26,62
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",27,63
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",28,64
chuck schumer,"[0.5601120336112038, -0.05415303610738827]",29,65
chuck schumer,"[0.6966305460192357, -0.04351941398892446]",30,66
chuck schumer,"[0.6966305460192357, nan]",31,67
facebook,"[-0.05251050315105038, 0.5595813731096785]",63,99
facebook,"[-0.05251050315105037, 0.5595813731096785]",64,100
facebook,"[-0.05251050315105037, 0.5595813731096785]",65,101
facebook,"[-0.05251050315105038, 0.5595813731096786]",66,102
facebook,"[-0.05251050315105038, 0.5595813731096786]",67,103
facebook,"[-0.052510503151050374, 0.5595813731096786]",68,104
fbi,"[-0.02941176470588236, 1.0]",31,67
fbi,"[-0.02941176470588236, 1.0]",32,68
fbi,"[-0.029411764705882356, 0.9999999999999999]",33,69
fbi,"[-0.029411764705882356, 0.9999999999999999]",34,70
fbi,"[-0.029411764705882356, 0.9999999999999999]",35,71
fbi,"[-0.029411764705882356, 1.0]",36,72
fbi,"[-0.029411764705882356, 1.0]",37,73
fbi,"[-0.029411764705882356, 1.0]",38,74
fbi,"[-0.029411764705882356, 1.0]",39,75
fbi,"[-0.029411764705882356, 1.0]",40,76
fbi,"[-0.029411764705882356, 1.0]",41,77
fbi,"[-0.02941176470588235, 1.0]",42,78
fbi,"[-0.02941176470588235, 1.0]",43,79
fbi,"[-0.02941176470588235, 1.0]",44,80
fbi,"[-0.02941176470588235, 1.0]",45,81
fbi,"[-0.02941176470588235, 1.0]",46,82
fbi,"[-0.02941176470588235, 1.0]",47,83
fbi,"[-0.02941176470588235, 1.0]",48,84
fbi,"[-0.02941176470588235, 1.0]",49,85
fbi,"[-0.029411764705882342, 1.0]",50,86
fbi,"[-0.029411764705882342, 1.0]",51,87
fbi,"[-0.029411764705882342, 1.0]",52,88
fbi,"[-0.029411764705882342, 1.0]",53,89
fbi,"[-0.029411764705882342, 1.0]",54,90
fbi,"[-0.029411764705882342, 1.0]",55,91
fbi,"[-0.029411764705882342, 1.0]",56,92
fbi,"[-0.029411764705882342, 1.0]",57,93
fbi,"[-0.029411764705882342, 1.0]",58,94
fbi,"[-0.029411764705882342, 1.0]",59,95
fbi,"[-0.029411764705882342, 1.0]",60,96
fbi,"[-0.029411764705882342, 1.0]",61,97
fbi,"[-0.029411764705882342, 1.0]",62,98
fbi,"[-0.029411764705882342, 1.0]",63,99
fbi,"[-0.029411764705882342, 1.0]",64,100
elizabeth warren,"[-0.057322515260151245, 0.610785564835303]",74,110
elizabeth warren,"[-0.039932615104875155, 0.8917506789905704]",75,111
elizabeth warren,"[-0.039932615104875155, 0.8917506789905704]",76,112
elizabeth warren,"[-0.0492515233577852, 0.8125387457904408]",77,113
elizabeth warren,"[-0.0492515233577852, 0.8125387457904408]",78,114
elizabeth warren,"[-0.0492515233577852, 0.8125387457904408]",79,115
elizabeth warren,"[-0.049251523357785196, 0.8125387457904409]",80,116
elizabeth warren,"[-0.0492515233577852, 0.8125387457904409]",81,117
elizabeth warren,"[-0.0492515233577852, 0.8125387457904409]",82,118
elizabeth warren,"[-0.0492515233577852, 0.8125387457904408]",83,119
